#SampleID	Metaphlan2_Analysis
d_Bacteria	671
d_Bacteria|p__Actinobacteriota	671
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia	76
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales	51
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales	6
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales|g__Acidimicrobiales	6
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales|g__Acidimicrobiales|s__Acidimicrobiales	6
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793	5
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__Fen-455	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__Fen-455|s__Fen-455 sp003139355	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__Fen-455|s__Fen-455 sp003170375	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__Palsa-601	3
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__Palsa-601|s__Palsa-601	3
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae	5
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Desertimonas	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Desertimonas|s__Desertimonas	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__JACCUL01	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__JACCUL01|s__JACCUL01	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__JAENVT01	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__JAENVT01|s__JAENVT01	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01	10
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__JACDCH01	7
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__JACDCH01|s__JACDCH01	7
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__VFJN01	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__VFJN01|s__VFJN01	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__ZC4RG19	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__ZC4RG19|s__ZC4RG19	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JADJXE01	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JADJXE01|g__JADJXE01	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JADJXE01|g__JADJXE01|s__JADJXE01	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Palsa-688	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Palsa-688|g__PALSA-693	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Palsa-688|g__PALSA-693|s__PALSA-693	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2	16
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-473	5
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-473|s__Bog-473	5
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-756	7
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-756|s__Bog-756	6
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-756|s__Bog-756 sp003138855	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Palsa-461	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Palsa-461|s__Palsa-461	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__RAAP-2	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__RAAP-2|s__RAAP-2	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8139	4
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8139|g__JACPNV01	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8139|g__JACPNV01|s__JACPNV01	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8139|g__UBA8139	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8139|g__UBA8139|s__UBA8139	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8190	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8190|g__UBA8190	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8190|g__UBA8190|s__UBA8190	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256	18
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__IMCC26256	2
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__IMCC26256|g__IMCC26256	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__IMCC26256|g__IMCC26256|s__IMCC26256	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__IMCC26256|g__JAENVU01	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__IMCC26256|g__JAENVU01|s__JAENVU01	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-555	12
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-555|g__JACDBD01	3
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-555|g__JACDBD01|s__JACDBD01	3
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-555|g__PALSA-555	9
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-555|g__PALSA-555|s__PALSA-555	9
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-610	4
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-610|g__PALSA-610	4
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-610|g__PALSA-610|s__PALSA-610	4
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794	7
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35	7
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__SZUA-217	6
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__SZUA-217|s__SZUA-217	6
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__ZC4RG35	1
d_Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__ZC4RG35|s__ZC4RG35	1
d_Bacteria|p__Actinobacteriota|c__Actinobacteriota	10
d_Bacteria|p__Actinobacteriota|c__Actinobacteriota|o__Actinobacteriota	10
d_Bacteria|p__Actinobacteriota|c__Actinobacteriota|o__Actinobacteriota|f__Actinobacteriota	10
d_Bacteria|p__Actinobacteriota|c__Actinobacteriota|o__Actinobacteriota|f__Actinobacteriota|g__Actinobacteriota	10
d_Bacteria|p__Actinobacteriota|c__Actinobacteriota|o__Actinobacteriota|f__Actinobacteriota|g__Actinobacteriota|s__Actinobacteriota	10
d_Bacteria|p__Actinobacteriota|c__Actinomycetia	216
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales	3
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales|f__Acidothermaceae	3
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales|f__Acidothermaceae|g__PALSA-607	3
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales|f__Acidothermaceae|g__PALSA-607|s__PALSA-607	3
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	22
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae	6
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae|s__Dermatophilaceae	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae|g__Lapillicoccus	3
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae|g__Lapillicoccus|s__Lapillicoccus	3
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae|g__UBA4719	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae|g__UBA4719|s__UBA4719	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Kineosporiaceae	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Kineosporiaceae|g__Kineosporiaceae	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Kineosporiaceae|g__Kineosporiaceae|s__Kineosporiaceae	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae	13
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Galbitalea	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Galbitalea|s__Galbitalea	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Lacisediminihabitans	3
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Lacisediminihabitans|s__Lacisediminihabitans	3
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia_B	2
