#SampleID	Metaphlan2_Analysis
d_Archaea	38
d_Archaea|p__Archaea	5
d_Archaea|p__Archaea|c__Archaea	5
d_Archaea|p__Archaea|c__Archaea|o__Archaea	5
d_Archaea|p__Archaea|c__Archaea|o__Archaea|f__Archaea	5
d_Archaea|p__Archaea|c__Archaea|o__Archaea|f__Archaea|g__Archaea	5
d_Archaea|p__Archaea|c__Archaea|o__Archaea|f__Archaea|g__Archaea|s__Archaea	5
d_Archaea|p__Euryarchaeota	3
d_Archaea|p__Euryarchaeota|c__Methanobacteria	1
d_Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	1
d_Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	1
d_Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium	1
d_Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium sp. SMA-27	1
d_Archaea|p__Euryarchaeota|c__Methanomicrobia	2
d_Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	2
d_Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae	2
d_Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina	2
d_Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina	2
d_Archaea|p__Nitrososphaerota	30
d_Archaea|p__Nitrososphaerota|c__Nitrososphaeria	28
d_Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales	27
d_Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae	27
d_Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaera	15
d_Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaera|s__Candidatus Nitrososphaera evergladensis	15
d_Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaeraceae	12
d_Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaeraceae|s__Nitrososphaeraceae	12
d_Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaeria	1
d_Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaeria|f__Nitrososphaeria	1
d_Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaeria|f__Nitrososphaeria|g__Nitrososphaeria	1
d_Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaeria|f__Nitrososphaeria|g__Nitrososphaeria|s__Nitrososphaeria	1
d_Archaea|p__Nitrososphaerota|c__Nitrososphaerota	2
d_Archaea|p__Nitrososphaerota|c__Nitrososphaerota|o__Nitrososphaerota	2
d_Archaea|p__Nitrososphaerota|c__Nitrososphaerota|o__Nitrososphaerota|f__Nitrososphaerota	2
d_Archaea|p__Nitrososphaerota|c__Nitrososphaerota|o__Nitrososphaerota|f__Nitrososphaerota|g__Nitrososphaerota	2
d_Archaea|p__Nitrososphaerota|c__Nitrososphaerota|o__Nitrososphaerota|f__Nitrososphaerota|g__Nitrososphaerota|s__Nitrososphaerota	2
d_Bacteria	1092
d_Bacteria|p__Acidobacteriota	181
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae	108
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15|f__20CM-2-55-15	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15|f__20CM-2-55-15|g__20CM-2-55-15	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15|f__20CM-2-55-15|g__20CM-2-55-15|s__20CM-2-55-15	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales	53
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae	16
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae|s__Acidobacteriaceae	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter|s__Edaphobacter	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella_A	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella_A|s__Granulicella_A	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella_D	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella_D|s__Granulicella_D	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__KBS-83	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__KBS-83|s__KBS-83	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Palsa-343	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Palsa-343|s__Palsa-343	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__PALSA-350	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__PALSA-350|s__PALSA-350	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Terracidiphilus	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Terracidiphilus|s__Terracidiphilus	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Tous-C9LFEB	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Tous-C9LFEB|s__Tous-C9LFEB	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__UBA5172	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__UBA5172|s__UBA5172	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriales	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriales|g__Acidobacteriales	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriales|g__Acidobacteriales|s__Acidobacteriales	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__CAINCZ01	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__CAINCZ01|g__CAINCZ01	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__CAINCZ01|g__CAINCZ01|s__CAINCZ01	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__CAINCZ01|g__JAFAIN01	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__CAINCZ01|g__JAFAIN01|s__JAFAIN01	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA112	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA112|g__Gp1-AA112	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA112|g__Gp1-AA112|s__Gp1-AA112	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA117	4
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA117|g__Gp1-AA17	4
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA117|g__Gp1-AA17|s__Gp1-AA17	4
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1	29
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__40CM-3-55-5	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__40CM-3-55-5|s__40CM-3-55-5	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Bog-209	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Bog-209|s__Bog-209	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Gp1-AA124	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Gp1-AA124|s__Gp1-AA124	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Gp1-AA133	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Gp1-AA133|s__Gp1-AA133	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Gp1-AA145	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Gp1-AA145|s__Gp1-AA145	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__PALSA-188	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__PALSA-188|s__PALSA-188	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__PALSA-270	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__PALSA-270|s__PALSA-270	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__QIAJ01	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__QIAJ01|s__QIAJ01	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__SbA1	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__SbA1|s__SbA1	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Sulfotelmatobacter	16
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Sulfotelmatobacter|s__Sulfotelmatobacter	15
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Sulfotelmatobacter|s__Sulfotelmatobacter sp003166855	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales	40
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541	40
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Acidoferrum	18
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Acidoferrum|s__Acidoferrum	18
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Palsa-147	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Palsa-147|s__Palsa-147	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Palsa-295	19
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Palsa-295|s__Palsa-295	17
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Palsa-295|s__Palsa-295 sp003156635	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__UBA7541	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__UBA7541|s__UBA7541	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales	12
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae	12
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Bog-105	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Bog-105|s__Bog-105	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__BOG-234	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__BOG-234|s__BOG-234	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Bryobacteraceae	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Bryobacteraceae|s__Bryobacteraceae	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__PALSA-243	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__PALSA-243|s__PALSA-243	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-89	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-89|s__Palsa-89	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Solibacter	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Solibacter|s__Solibacter	3
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540	2
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540|g__Gp13-AA77	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540|g__Gp13-AA77|s__Gp13-AA77	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540|g__UBA7540	1
d_Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540|g__UBA7540|s__UBA7540	1
d_Bacteria|p__Acidobacteriota|c__Blastocatellia	29
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales	25
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae	25
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__JACMLC01	1
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__JACMLC01|s__JACMLC01	1
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__PSRF01	9
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__PSRF01|s__PSRF01	9
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__Pyrinomonadaceae	3
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__Pyrinomonadaceae|s__Pyrinomonadaceae	3
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__QHXM01	2
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__QHXM01|s__QHXM01	2
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__UBA11740	10
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__UBA11740|s__UBA11740	10
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074	2
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074	2
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__JADJLO01	1
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__JADJLO01|s__JADJLO01	1
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__RBC074	1
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__RBC074|s__RBC074	1
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656	2
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656	2
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656|g__JADGNW01	2
d_Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656|g__JADGNW01|s__JADGNW01	2
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia	20
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8	5
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8	5
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__Gp7-AA8	1
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__Gp7-AA8|s__Gp7-AA8	1
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__QHVT01	4
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__QHVT01|s__QHVT01	4
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066	5
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6	4
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6|g__Gp7-AA6	4
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6|g__Gp7-AA6|s__Gp7-AA6	4
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__UBA5066	1
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__UBA5066|g__Fen-183	1
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__UBA5066|g__Fen-183|s__Fen-183	1
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704	10
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704	10
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__UBA5704	10
d_Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__UBA5704|s__UBA5704	10
d_Bacteria|p__Acidobacteriota|c__UBA6911	1
d_Bacteria|p__Acidobacteriota|c__UBA6911|o__UBA6911	1
d_Bacteria|p__Acidobacteriota|c__UBA6911|o__UBA6911|f__UBA6911	1
d_Bacteria|p__Acidobacteriota|c__UBA6911|o__UBA6911|f__UBA6911|g__UBA6911	1
d_Bacteria|p__Acidobacteriota|c__UBA6911|o__UBA6911|f__UBA6911|g__UBA6911|s__UBA6911	1
d_Bacteria|p__Acidobacteriota|c__Vicinamibacteria	23
d_Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336	5
d_Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336|f__Fen-336	5
d_Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336|f__Fen-336|g__Fen-336	4
d_Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336|f__Fen-336|g__Fen-336|s__Fen-336	4
d_Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336|f__Fen-336|g__WYBL01	1
d_Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336|f__Fen-336|g__WYBL01|s__WYBL01	1
d_Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	18
d_Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21	5
d_Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21|g__2-12-FULL-66-21	4
