"","Bin ID","Site","Sample Name","Site ID","Subplot","Layer","Date","IMG Genome ID","Bin Quality","Bin Lineage","GTDB-Tk Taxonomy Lineage","Domain","Phylum","Class","Order","Family","Genus","Bin Completeness","Bin Contamination","Total Number of Bases","5s rRNA","16s rRNA","23s rRNA","tRNA Genes","Gene Count","Scaffold Count","Assembly Type"
"1","3300060643_14","National Grasslands LBJ, Texas, USA","CLBJ_001-M-20210506","CLBJ","001","M","20210506",3300060643,"MQ",NA,"Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; PSRF01","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","PSRF01",96.15,2.56,6247032,0,1,0,54,5373,39,"Individual"
"2","3300060643_16","National Grasslands LBJ, Texas, USA","CLBJ_001-M-20210506","CLBJ","001","M","20210506",3300060643,"MQ","Bacteria","Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; UBA2999; Gp6-AA45","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","UBA2999","Gp6-AA45",77.5,5.3,5394623,0,0,0,32,5406,878,"Individual"
"3","3300060643_18","National Grasslands LBJ, Texas, USA","CLBJ_001-M-20210506","CLBJ","001","M","20210506",3300060643,"MQ","Bacteria; Actinomycetota; Actinomycetes","Bacteria; Actinobacteriota; Actinomycetia; Streptosporangiales; Streptosporangiaceae; Chersky-822","Bacteria","Actinobacteriota","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Chersky-822",77.15,1.99,4389455,0,0,0,35,4705,607,"Individual"
"4","3300060643_2","National Grasslands LBJ, Texas, USA","CLBJ_001-M-20210506","CLBJ","001","M","20210506",3300060643,"MQ","Bacteria; Actinomycetota; Actinomycetes","Bacteria; Actinobacteriota; Actinomycetia; Mycobacteriales; Jatrophihabitantaceae; JAFAWL01","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Jatrophihabitantaceae","JAFAWL01",58.36,3.74,3228217,0,0,0,29,3762,592,"Individual"
"5","3300060643_28","National Grasslands LBJ, Texas, USA","CLBJ_001-M-20210506","CLBJ","001","M","20210506",3300060643,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales","Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; VAZQ01","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","VAZQ01",68.73,4.67,3245901,0,0,0,12,3446,474,"Individual"
"6","3300060643_35","National Grasslands LBJ, Texas, USA","CLBJ_001-M-20210506","CLBJ","001","M","20210506",3300060643,"MQ","Bacteria; Acidobacteriota","Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae",NA,50.86,0,3539077,1,0,1,26,3432,386,"Individual"
"7","3300060643_5","National Grasslands LBJ, Texas, USA","CLBJ_001-M-20210506","CLBJ","001","M","20210506",3300060643,"MQ","Bacteria; Chloroflexota; Ktedonobacteria; Ktedonobacterales; Dictyobacteraceae","Bacteria; Chloroflexota; Ktedonobacteria; Ktedonobacterales; Ktedonobacteraceae","Bacteria","Chloroflexota","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",NA,59.57,2.97,3283821,3,1,1,24,2969,270,"Individual"
"8","3300060643_6","National Grasslands LBJ, Texas, USA","CLBJ_001-M-20210506","CLBJ","001","M","20210506",3300060643,"MQ","Bacteria","Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; QHXM01","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","QHXM01",73.28,3.16,4908522,0,1,0,37,4603,547,"Individual"
"9","3300060644_13","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria; Actinomycetota; Thermoleophilia; Solirubrobacterales","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Palsa-744","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Palsa-744",96.72,1.71,2963684,1,0,1,47,2890,10,"Individual"
"10","3300060644_14","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Granulicella; Granulicella mallensis","Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; UBA5172","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae","UBA5172",72.68,5.17,2831874,0,0,0,34,2691,186,"Individual"
